customer_id,customer_name,city,address,points,membership_type
76,Joan Castillo,Amman,114 Meyer Port Suite 528,1052,Platinum
77,Timothy Davis,Karak,0938 Stevenson Coves,1908,Silver
78,Sherri Lopez,Salt,0476 Kaufman Curve Suite 074,173,Silver
79,Jessica Webb,Salt,439 Moody Via Suite 349,1899,Platinum
80,Carl Cruz,Mafraq,686 Heather Plains Suite 218,3294,Gold
81,Edward Evans,Amman,49830 Linda Highway,2582,Platinum
82,Jack Hahn,Karak,381 Kimberly Lodge Suite 007,3682,Platinum
83,Matthew Perry,Karak,374 Combs Field,2129,Platinum
84,George Conner,Madaba,3089 Little Highway Suite 621,2307,Platinum
85,Melanie Anthony,Zarqa,4218 Hart Oval,4579,Gold
86,Shelia Flores,Amman,530 Mayo Ridges,2132,Silver
87,Laurie Nunez,Mafraq,96095 Yang Walks Suite 129,2571,Gold
88,Jason Bennett,Zarqa,11142 David Mount Suite 393,3596,Bronze
89,Ronald Burton,Aqaba,65657 Welch Squares,3033,Bronze
90,Shelly Hardin,Irbid,74543 Nancy Dale,2466,Bronze
91,Jonathan Davis,Karak,8503 Sandra Drive Apt. 831,563,Silver
92,Richard Ross,Ajloun,0484 Duffy Fields,3334,Silver
93,Bryce Garcia,Amman,477 Joseph Rapids Apt. 312,3770,Silver
94,Ruben Hoffman,Irbid,985 Cooke Ports,1650,Bronze
95,Rhonda Yu,Salt,7241 Thomas Streets Suite 972,2974,Gold
96,Dalton White,Mafraq,558 Nicole Brooks,4784,Bronze
97,Crystal Torres,Amman,632 Elizabeth Hills Apt. 479,1279,Platinum
98,Joseph Gallegos,Irbid,491 Miller Valley Apt. 370,4807,Bronze
99,David Huffman,Amman,0583 Christina Radial,722,Bronze
100,Kenneth Wiley,Salt,2646 Ricardo Loop,3520,Gold
101,Gary Johnson,Amman,63373 Paul Locks,3645,Platinum
102,Dylan Wilkinson,Madaba,72380 Erickson Courts Apt. 844,1169,Bronze
103,Melissa Wheeler,Zarqa,88103 Lisa Island,1587,Bronze
104,Tyler Gonzalez,Mafraq,031 Adam Cove Apt. 161,3273,Gold
105,Christine Johnson,Jerash,2514 Andrea Path,4920,Platinum
106,Teresa Gonzalez,Mafraq,6026 Miguel Village,3783,Silver
107,Stephanie Moore,Ajloun,62579 Mason Path,3580,Bronze
108,Mallory Robinson,Ajloun,87053 Daniels Point Apt. 589,4972,Silver
109,Angel Williams,Salt,409 Burnett Mountains Suite 675,2297,Bronze
110,Kari Watson,Aqaba,5120 Joshua Estate,1545,Bronze
111,Jessica Schwartz,Madaba,773 Lisa Overpass Suite 842,451,Bronze
112,Thomas Pratt,Karak,5420 Christopher Mill Suite 800,1388,Bronze
113,Felicia Gomez,Madaba,5316 Parker River Apt. 779,3000,Gold
114,Andrew Gonzalez,Irbid,103 Ronald Shores Apt. 197,4237,Silver
115,Christopher Ford,Irbid,691 Keith Courts Apt. 980,2116,Silver
116,Steven Pierce,Aqaba,94406 Jessica Crossing,3162,Silver
117,Mckenzie Reyes,Madaba,4832 Lawrence Grove Suite 362,89,Silver
118,Mrs. Cindy Mathews,Jerash,614 Joshua Mall,620,Bronze
119,Mr. Drew Melendez,Salt,879 Alexander Crossing,948,Platinum
120,Omar Alvarez,Amman,14713 Davis Neck Apt. 000,1820,Platinum
121,Mark Moore,Jerash,17707 Wood Squares Suite 562,270,Silver
122,Jack Bean,Amman,291 Thompson Springs Suite 863,699,Silver
123,Dr. Holly Moore MD,Ajloun,37488 Porter Prairie,36,Silver
124,Christina Cantu,Aqaba,9715 Mcfarland Port Suite 639,1947,Gold
125,Austin Figueroa,Salt,6716 Hart Islands,490,Silver
126,Tara Weiss,Jerash,640 Sharon Track Apt. 217,3501,Gold
127,Kathryn Monroe,Amman,43254 Evans Parkway,302,Silver
128,Dale Collins,Ajloun,60624 Walker Terrace Suite 859,1049,Bronze
129,Justin Price,Ajloun,91316 Teresa Circle,3947,Platinum
130,Timothy Cummings,Salt,535 Christina Parks Apt. 402,3743,Bronze
131,Terry Monroe,Zarqa,0381 Sara Crescent,1539,Platinum
132,Nicole Wood,Aqaba,8506 Gibson View,4550,Platinum
133,Jason Jackson,Ajloun,7971 Lawrence Flat Suite 028,4712,Gold
134,Misty Smith,Madaba,7582 Cassandra Spring Apt. 306,3797,Bronze
135,Mr. Jesus Acosta,Jerash,520 Moore Inlet,4385,Silver
136,Mrs. Linda Duran MD,Mafraq,1504 Barker Hollow Suite 171,317,Gold
137,Daniel Taylor,Mafraq,844 Sean Fort,1713,Bronze
138,Michael Moses,Karak,00238 Maldonado Coves,4289,Platinum
139,Amy Taylor,Salt,35763 Johnson Locks,2633,Silver
140,Chelsea Roberts,Aqaba,39184 Bethany Mountain,4306,Silver
141,Andrew Williams,Jerash,744 James Plaza Suite 176,662,Gold
142,Travis Castro,Ajloun,7893 Martin Shoals,1215,Platinum
143,Teresa Fowler,Ajloun,025 Timothy Common Apt. 789,2910,Bronze
144,Mark Ramos,Aqaba,20621 Maria Mount,1870,Platinum
145,Veronica Burnett,Karak,8760 Moore Gateway Suite 619,1723,Bronze
146,Lee Taylor,Amman,25233 Kyle Roads,2931,Silver
147,Nicholas Mcguire,Irbid,39644 Lori Keys,4635,Bronze
148,Taylor Campbell,Amman,08285 Leon Roads Apt. 216,2917,Platinum
149,Christopher Mcintosh,Mafraq,02659 Rice Ramp,2470,Silver
150,David Page,Salt,779 April Run,917,Bronze
151,Ashley Green,Jerash,0536 Turner Mission,3918,Silver
152,Lee Aguilar,Karak,65025 Hannah Mills Apt. 189,3967,Gold
153,Justin Moreno,Jerash,394 Nicole Station Apt. 717,2093,Silver
154,Michael Delgado,Ajloun,26296 Tammy Spring Suite 537,1558,Platinum
155,Kimberly Rodriguez,Jerash,395 Parsons Cliff,345,Bronze
156,Jennifer Phillips,Ajloun,521 Brian Canyon Suite 600,4660,Bronze
157,Michele Jackson,Zarqa,79081 James Hollow,3505,Bronze
158,Lisa Cameron,Amman,7750 Perez Glen Suite 383,1859,Bronze
159,Regina Nelson,Irbid,188 Allen Spur Suite 321,824,Gold
160,Steve Williams,Salt,592 Williams Extension,4598,Platinum
161,Mary Bishop,Irbid,3875 Wendy Coves,2118,Bronze
162,Kristen Jackson,Mafraq,466 Ramirez Way Apt. 319,2394,Platinum
163,Christopher Ramos DDS,Jerash,814 Steven Parks,593,Bronze
164,David Burnett,Zarqa,07675 Jeffery Bridge Suite 547,2445,Gold
165,Benjamin Carter,Madaba,0768 Eric Station Apt. 110,1707,Gold
166,Cynthia Bauer,Aqaba,92141 Victoria Creek,3455,Silver
167,Jacqueline Hunter,Jerash,431 Courtney Groves,4807,Platinum
168,Omar Brock,Zarqa,8057 Sherman Land Suite 861,370,Bronze
169,Jennifer Downs,Ajloun,2649 Zachary Burg Apt. 574,3593,Gold
170,Stephanie Banks,Amman,13390 Kimberly Plains Apt. 553,3588,Bronze
171,Michael Hernandez,Ajloun,613 Christine Stream,1926,Bronze
172,Kari Mitchell,Aqaba,2370 Martinez River Suite 803,1728,Gold
173,Tracy Richmond,Jerash,7202 Jenkins Curve Apt. 660,1061,Gold
174,Pamela Hernandez,Aqaba,495 Samuel Turnpike Apt. 611,4670,Platinum
175,Monica Guerrero,Ajloun,33252 Justin Cove Suite 998,4055,Silver
176,Matthew Jones,Zarqa,831 Derek Ville Suite 352,3207,Platinum
177,Christina Stephens,Salt,057 Stewart Canyon,4137,Bronze
178,Samuel Miller,Salt,3893 Shelley Route Apt. 671,1441,Bronze
179,Sandra Gillespie,Madaba,30353 Lewis Spur Apt. 333,4636,Gold
180,Susan Gillespie,Amman,0285 Bruce Throughway,1258,Gold
181,Kathryn Ritter,Aqaba,582 Lisa Plains Suite 839,2071,Silver
182,Joshua Alexander,Irbid,021 Nelson Trail,13,Gold
183,Carl Hawkins,Madaba,3366 Kevin View,775,Bronze
184,Erin Walton,Madaba,7890 Mark Unions,688,Gold
185,Ashley Landry,Jerash,881 Laura Via Apt. 118,3213,Silver
186,Paige Torres,Madaba,0390 Meadows Roads Apt. 629,4241,Platinum
187,Kimberly Koch,Karak,147 Brooks Crossroad Apt. 213,3358,Bronze
188,Crystal Wilson,Amman,37626 Reed Knoll Suite 023,4800,Bronze
189,Miguel Perez,Jerash,06867 Christensen Creek,3424,Bronze
190,Robert Anderson,Irbid,273 Michael Villages,308,Platinum
191,John Stokes,Amman,1412 Jean Estates Suite 313,2635,Silver
192,Lori Woods,Jerash,5239 Andrea Ridges,4487,Gold
193,James Thomas,Ajloun,842 Fry Stream,3408,Platinum
194,Elizabeth Green,Madaba,70615 Alvarado Common,78,Platinum
195,Erica Brown,Irbid,418 Emily Lights,2976,Silver
196,Megan Durham,Amman,1548 Baker Manors,4090,Platinum
197,Jamie Black,Zarqa,53941 Williams Run,2413,Bronze
198,Michael Mccormick,Karak,936 Harris Inlet,4172,Platinum
199,Brandi Houston,Zarqa,88569 Melissa Street Apt. 602,2107,Gold
200,Jason Cruz,Jerash,382 Proctor Union,4827,Bronze
201,Kurt Miller,Zarqa,9618 Joshua Meadows Apt. 590,1127,Bronze
202,Richard Pena,Mafraq,6964 Frank Lane,4104,Gold
203,Mark Parker,Irbid,227 Walker Garden,2586,Platinum
204,Deanna Clark,Karak,15908 James Locks Apt. 534,2019,Bronze
205,Lauren Mathews,Madaba,81062 Ramsey Via Suite 980,4812,Silver
206,Timothy Schroeder,Aqaba,082 Matthew Port Suite 674,3951,Bronze
207,Michael Brennan Jr.,Amman,5881 Sandra Vista,2242,Gold
208,Sandra Haynes,Karak,7679 Roberts Parkway Apt. 511,2511,Silver
209,Billy Johnson,Karak,10622 Martin Glen Suite 945,1170,Gold
210,John Morton,Irbid,6060 Woods Vista Suite 475,1433,Bronze
211,Robert Porter,Zarqa,061 Brown Gateway,2240,Platinum
212,Erika Rose,Karak,218 Richardson Harbors Suite 902,1591,Silver
213,Nicholas Mckee,Irbid,10682 Michael Corner Apt. 358,1839,Gold
214,Becky Charles,Salt,097 Perez Land,2663,Bronze
215,Paul Juarez,Zarqa,165 Sandra Stravenue,1834,Silver
216,Caitlin Steele MD,Aqaba,287 Russo Run Suite 618,4818,Bronze
217,Jessica Jensen,Irbid,5220 Brown Islands Suite 298,3284,Bronze
218,Amy Wilson,Aqaba,839 Erin Loop,1728,Platinum
219,Andrea Schultz,Irbid,60975 Mcdaniel Avenue Suite 649,59,Bronze
220,John Shaw,Irbid,211 Gonzalez Shoals,3625,Gold
221,Zachary Park,Zarqa,1507 Douglas Village Suite 564,679,Bronze
222,Christopher Benjamin,Ajloun,203 Kyle Inlet Suite 417,1142,Bronze
223,Christopher Smith,Irbid,67668 Wilson Dale,1904,Silver
224,Regina Morgan,Karak,61189 Douglas Crossroad Apt. 018,2477,Bronze
225,Charles Burch,Madaba,19636 Dale Walk,4297,Bronze
226,Jessica Franklin,Jerash,34912 Tracy Stream Apt. 767,1618,Platinum
227,Alexander Hill,Madaba,1233 Taylor Plains Apt. 991,3417,Platinum
228,Christopher Leblanc,Madaba,0643 Harrell Fords Apt. 519,545,Platinum
229,Michael Andrade,Jerash,469 Christopher Radial,1150,Silver
230,Bruce Henderson,Amman,53273 Kelly Circles,3464,Silver
231,Tonya Dougherty,Madaba,78706 Rodriguez Knolls Apt. 832,92,Platinum
232,Derek Wu,Mafraq,449 Cohen Drive,4298,Gold
233,Brianna Graves,Irbid,42620 Kenneth Terrace Suite 035,2553,Platinum
234,Crystal Allen,Zarqa,702 Gabriella Key Suite 321,3991,Silver
235,Bryan Gardner,Amman,1792 Fisher Bridge,451,Gold
236,Mary Bell,Salt,5798 Nicholas Spur Suite 093,3746,Bronze
237,Amanda Bradley,Aqaba,3513 Mcdowell Ridge,2253,Gold
238,Andre Wagner,Aqaba,474 Christopher Place,1218,Silver
239,Anne May,Karak,8295 Shelton Run Apt. 662,1956,Bronze
240,Geoffrey Bond,Irbid,4260 Bradley Camp Apt. 737,4301,Bronze
241,Teresa Johnson,Jerash,0890 Morton Meadow Suite 078,3585,Silver
242,Rhonda Howell,Madaba,3229 David Via,3256,Silver
243,Jacqueline Roberts,Salt,583 Ricardo Skyway Apt. 739,3153,Gold
244,Michael Craig,Zarqa,2404 Sergio Isle,4877,Gold
245,Isaac Ortega,Irbid,191 Anthony Lake,2231,Platinum
246,Connie Miller,Ajloun,36768 Tucker Valleys,6,Platinum
247,Jeffrey Bentley,Salt,66128 Jimenez Harbor Suite 774,4304,Platinum
248,Jerome Lopez,Jerash,875 Dickson Tunnel Suite 558,1233,Platinum
249,Veronica Edwards,Zarqa,894 Todd Dale,847,Silver
250,Peter Davis,Jerash,62370 Kenneth Street Suite 071,3964,Silver
251,Kimberly Frye,Ajloun,68565 Jon Street,869,Platinum
252,Patricia Daniels,Amman,17405 Bennett Greens,101,Silver
253,Brandon Sherman,Mafraq,88553 Tate Landing Apt. 271,2656,Gold
254,Roger Gardner,Zarqa,456 Gonzalez Ramp Suite 098,204,Silver
255,Vanessa Norton,Mafraq,945 Mendez Fall,1340,Gold
256,Alexander Walter,Mafraq,6519 Colleen Manors Apt. 544,479,Gold
257,Jennifer Brown,Ajloun,49835 Dylan Ridge Apt. 848,1303,Bronze
258,Jesse Pena,Ajloun,62877 Kevin Drive,640,Platinum
259,Steven Hansen,Jerash,572 Turner Prairie Apt. 991,4760,Platinum
260,Jose Moreno,Karak,5606 Lewis Roads,3004,Platinum
261,Alicia West,Salt,62465 Nicholson Vista Suite 408,711,Silver
262,Aaron Boyd,Jerash,478 Garza Coves,3950,Gold
263,Rick Thompson,Karak,92319 Barnes Run,1727,Platinum
264,Susan Murray,Jerash,02415 Daniel Shores,3094,Silver
265,Deborah Gomez,Aqaba,3519 Gilbert Underpass,1588,Silver
266,Becky Mendoza,Karak,785 Murray Freeway,2191,Bronze
267,Tristan Jordan,Jerash,5389 John Circle,4696,Bronze
268,Amanda Miller,Karak,546 Berger Stravenue Suite 405,4537,Platinum
269,Travis Raymond,Madaba,342 Karen Rapid Apt. 665,1977,Platinum
270,Robert Chan,Irbid,79057 Long Curve,1599,Silver
271,Laura Wallace MD,Madaba,17146 Johnson Road Suite 161,2109,Bronze
272,Terry Jones,Zarqa,915 Jason Gateway,2652,Gold
273,James Hunter,Jerash,911 Soto Spur,1920,Gold
274,Molly Smith,Jerash,24097 Christina Street,1496,Bronze
275,Denise Camacho,Salt,558 Justin Street Suite 976,403,Bronze
276,Valerie Marquez,Amman,926 Simpson Circle,1107,Silver
277,Jason Lewis,Ajloun,534 Harper Village Suite 014,2114,Gold
278,Stacie Gonzalez,Karak,8837 Silva Prairie,3394,Silver
279,Barbara Frederick,Irbid,73819 Jacobs Lights Suite 012,694,Gold
280,Brandon Klein,Amman,50124 Henry Greens,2223,Silver
281,Erin Warner,Mafraq,23410 Rogers Stream Apt. 122,4697,Platinum
282,Gloria Hall,Madaba,909 Adam Place Suite 121,3459,Platinum
283,Louis Frazier,Madaba,4772 Sarah Roads Apt. 156,819,Gold
284,William Jacobson,Mafraq,355 Noble Road Apt. 554,1309,Platinum
285,Darrell Nunez,Madaba,21032 Gates Burg Apt. 616,598,Silver
286,Nicole Hill,Ajloun,58536 Sarah Mount,1140,Silver
287,Matthew Green,Ajloun,5752 Santiago Ports Suite 190,4173,Platinum
288,Courtney Burnett,Madaba,44953 Frederick Lodge,388,Platinum
289,Elizabeth Young,Aqaba,5934 Melissa Parkways Apt. 109,2260,Bronze
290,Craig Armstrong,Mafraq,89014 Mary Trace,1327,Platinum
291,Lawrence Macias,Mafraq,358 Shelton Row,4764,Silver
292,Lindsay Olson,Jerash,351 Larson Ports,4446,Gold
293,Kathleen Howell,Mafraq,38304 Nicole Trail Apt. 587,3654,Silver
294,Michael Davis,Irbid,1445 Chen Camp,564,Silver
295,Matthew Harmon,Mafraq,444 Jesse Track,1118,Gold
296,Kelly Carr,Ajloun,0106 Smith Shores,1915,Silver
297,Joshua Bailey,Madaba,81604 Mikayla Drive Suite 134,3965,Platinum
298,Tammy French,Salt,766 Nancy Summit,1111,Gold
299,Jamie Lewis,Madaba,30364 Mark Roads Apt. 776,4912,Platinum
300,Xavier Stewart,Amman,19489 Adams Glen Suite 186,3398,Silver
301,Hayley Lane DVM,Zarqa,674 Thomas Inlet,2237,Platinum
302,Elizabeth Price,Madaba,8940 Anderson Crossroad Apt. 734,4050,Bronze
303,Marcus Rodriguez,Salt,78099 Sergio Ways,4329,Platinum
304,Jennifer Holden,Ajloun,3789 Chelsea Square Apt. 557,4376,Platinum
305,Peter Miller,Ajloun,943 Phillips Circle Suite 385,4045,Bronze
306,Kimberly Hayes,Madaba,24740 Richardson Ville Apt. 843,3270,Bronze
307,Michael Rivas,Salt,76179 Elizabeth Hill,4489,Silver
308,Cheryl Hernandez,Karak,07238 Ashley Square,4390,Platinum
309,William Porter,Salt,3027 Lambert Shores Suite 741,2123,Gold
310,Jessica Barnes,Ajloun,952 Regina Points,1314,Bronze
311,Gregory Nelson,Irbid,07474 Breanna Locks,1490,Gold
312,Francisco Griffith,Ajloun,0988 Jones Route Apt. 382,1894,Platinum
313,Nathan Barker,Aqaba,9880 Rios Junctions Apt. 316,4923,Silver
314,Sarah Parker,Madaba,6437 Amanda Pike,3179,Bronze
315,Judith Hubbard,Amman,8153 Jenkins Lodge,2649,Bronze
316,Christopher Mitchell,Madaba,1488 Michael Branch,2863,Gold
317,Lisa Bruce,Irbid,5506 Rivera Route Apt. 024,1177,Gold
318,Nicholas Chapman,Irbid,89047 Joseph Stream Apt. 075,1077,Gold
319,Jennifer Coleman,Zarqa,6687 Gutierrez Hollow,717,Platinum
320,Tonya Reid,Karak,718 Leslie Drives,3886,Gold
321,Timothy Smith,Ajloun,864 Brown Estates Apt. 681,4290,Platinum
322,Samuel Clark,Salt,1443 Michele Extensions Apt. 068,586,Platinum
323,Aaron Acevedo,Salt,953 Dyer Stream Apt. 479,749,Gold
324,Phyllis Johnson,Karak,14684 Tyler Lodge,513,Platinum
325,Shannon Flores,Irbid,19276 Maynard Roads,4352,Silver
326,Holly Moore,Zarqa,4905 Washington Squares Apt. 487,272,Bronze
327,Rebecca Avila,Karak,8322 Adams Drives Apt. 590,4842,Bronze
328,Courtney Hendrix,Karak,6205 Elizabeth Street,1247,Gold
329,Bruce Johnson,Irbid,790 Floyd Spur Suite 011,18,Gold
330,Shannon Parks,Aqaba,87656 Jennifer Alley Apt. 168,4158,Bronze
331,Stephen Roberts,Zarqa,2046 Tiffany Rapids Apt. 291,1028,Silver
332,Kari Mccall,Madaba,7517 Roberts Common,281,Platinum
333,Elizabeth Johnson,Ajloun,54470 Victoria Views Apt. 548,3559,Platinum
334,Patrick Johnson,Karak,6929 Amanda Harbor Suite 513,1037,Platinum
335,Harry Ramirez,Irbid,9230 Jeremy Expressway Apt. 880,4082,Silver
336,Lindsey Molina,Jerash,46124 Smith Manors Suite 901,4081,Silver
337,Samantha Edwards DDS,Irbid,4365 Mills Orchard,671,Platinum
338,Nicholas Thomas,Ajloun,5312 Kathleen Ports,1152,Silver
339,Veronica Sherman,Salt,13039 Michael Harbor,1737,Silver
340,Lisa Anderson,Madaba,249 Christy Parkway Suite 644,3277,Platinum
341,Brenda Ortiz,Salt,1913 Carla Inlet Apt. 477,2889,Platinum
342,Erin Nelson,Salt,71322 Gardner Road,1653,Bronze
343,Ian Martinez Jr.,Aqaba,52556 Garrison Freeway,2754,Bronze
344,Elizabeth Holloway,Amman,14867 Mueller Freeway Suite 770,3625,Platinum
345,Emily Hale,Irbid,1004 Cruz Village Apt. 536,4637,Gold
346,Scott Jones,Amman,8484 Cunningham Pine Apt. 035,1235,Bronze
347,Shannon Wang,Jerash,3536 Denise Crescent Suite 513,596,Platinum
348,Olivia Larson,Zarqa,6757 Meadows Prairie Suite 107,1874,Platinum
349,Mrs. Deanna Castillo MD,Madaba,51695 Gutierrez Rapids Apt. 471,630,Platinum
350,Nicholas Hill,Jerash,1430 Moore Locks,942,Bronze
351,Angela Taylor,Mafraq,598 William Hollow,4110,Bronze
352,Jack Watkins,Amman,94304 Audrey Plains,4947,Silver
353,Daniel Mcdonald,Amman,744 Christensen Highway Apt. 739,4417,Silver
354,Kenneth Bentley,Salt,539 Bradford Islands,307,Silver
355,Shelby Gillespie,Madaba,522 Hammond Club,4248,Gold
356,Cesar Kramer,Madaba,632 John Cliff,3439,Platinum
357,Dennis Reynolds,Aqaba,36236 Williams Bypass,569,Silver
358,Pamela Contreras,Aqaba,542 Steven Rapids Suite 170,138,Gold
359,Thomas Hill,Karak,34594 Malone Shore Apt. 314,3414,Bronze
360,Robert Peters,Salt,4831 Wanda Creek,2348,Platinum
361,Francisco Carlson,Amman,2345 Nicholas Loaf Apt. 531,4037,Gold
362,Andrew Bruce,Aqaba,468 Hamilton Camp,2236,Silver
363,Kimberly Cook,Mafraq,000 Heather Points,397,Silver
364,Jeffrey Garcia,Ajloun,8744 Cantu Viaduct,1017,Platinum
365,Michael Stewart,Salt,8935 Renee Viaduct Suite 828,3812,Platinum
366,Jamie Price,Jerash,130 Stacy Drive,3858,Platinum
367,Daniel Williamson,Irbid,825 Timothy Wells,435,Silver
368,Connor Andrade,Mafraq,16842 Lewis Center,1304,Bronze
369,Emily Mason,Jerash,9904 Baldwin Streets,1648,Gold
370,Joanne Green,Jerash,5736 Jennifer Keys,2620,Bronze
371,Jason Garza,Mafraq,011 Flores Keys,3958,Bronze
372,Catherine Clark,Ajloun,4444 Christine Village,2520,Silver
373,Marie Villegas,Salt,1233 Graham Points Suite 849,3580,Silver
374,Madison Edwards,Aqaba,101 Solis Divide Suite 404,4986,Silver
375,Denise Pennington,Jerash,74534 James Forge Apt. 082,154,Bronze
376,Andrew Singh,Karak,400 Darryl Lights Suite 828,1381,Bronze
377,Shawn Stevens,Jerash,70332 Darren Squares Apt. 582,3848,Gold
378,Yvette Greene,Amman,81539 Meza Ways,2826,Platinum
379,Bianca Ward,Aqaba,31977 Hicks Park Suite 093,2759,Platinum
380,Robert Schneider,Mafraq,247 Harris Drives Apt. 984,4599,Platinum
381,Erika Castro,Zarqa,088 Grant Forge,4198,Bronze
382,Julia Ellis,Jerash,9058 Jason Court,4155,Bronze
383,Shannon Davis,Mafraq,92322 Angela Hills,3320,Platinum
384,Jennifer Brown DDS,Jerash,8519 Dominique Mill,717,Platinum
385,John Wilson,Mafraq,27384 Brown Courts,2423,Bronze
